date,percentage_0p,max_trip_0p,min_trip_0p,percentage_1p,max_trip_1p,min_trip_1p,percentage_2p,max_trip_2p,min_trip_2p,percentage_3p,max_trip_3p,min_trip_3p,percentage_4p,max_trip_4p,min_trip_4p
2003-01-01,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-12-31,0.0,0.0,0.0,80.0,73.7,7.3,0.0,0.0,0.0,10.0,7.25,7.25,10.0,55.3,55.3
2009-01-01,0.0,0.0,0.0,78.94736842105263,74.8,3.3,5.263157894736842,31.3,31.3,5.263157894736842,13.8,13.8,10.526315789473683,61.42,9.3
2019-12-18,0.0,0.0,0.0,50.0,2.81,2.81,0.0,0.0,0.0,0.0,0.0,0.0,50.0,6.3,6.3
2019-12-31,0.0,0.0,0.0,58.139534883720934,71.62,-62.8,16.27906976744186,41.8,-6.8,4.651162790697675,34.42,10.56,20.930232558139537,54.36,6.8
2020-01-01,1.5138392910106895,145.55,0.3,63.528455670372175,465.3,-207.3,19.474664546975287,281.42,-73.92,5.742149034868133,433.04,-103.3,9.740891456773719,350.42,-79.8
2020-01-02,1.6937944114142405,174.36,0.3,68.83355896463307,492.8,-108.3,16.004641558166085,328.04,-135.3,4.7363856985108335,215.54,-68.3,8.731619367275767,352.3,-61.42
2020-01-03,1.768951079770824,187.42,0.0,68.87285147642133,1242.3,-1242.3,16.3161084178052,370.3,-70.3,4.578558836491847,409.59,-33.3,8.463530189510799,348.3,-61.42
2020-01-04,1.6878914290117002,152.54,-18.3,65.66211352404433,965.8,-180.3,18.38299230625296,481.3,-61.42,5.139070806687726,313.3,-62.42,9.12793193400328,577.8,-55.3
2020-01-05,1.6904034642230645,435.42,0.3,67.70139476686417,596.42,-90.3,17.349329604141367,375.3,-102.42,4.775573792612765,333.34,-55.3,8.483298372158638,264.36,-65.3
2020-01-06,1.8138832711425072,275.42,0.3,73.80807246418092,1040.39,-500.3,13.523228985672372,276.36,-65.92,3.6938502292990005,200.3,-45.42,7.160965049705187,185.9,-168.3
2020-01-07,1.7536199508539634,114.8,0.0,74.0008326394671,410.67,-142.92,13.662902865498264,375.3,-70.8,3.466623342336671,343.3,-61.42,7.116021201843992,242.8,-57.3
2020-01-08,1.8270424867346555,319.03,-0.8,74.02720806834004,914.55,-74.8,13.533473826816694,282.36,-61.42,3.510141873330072,350.8,-61.42,7.102133744778534,253.67,-61.42
2020-01-09,1.8509890109890108,186.05,0.0,74.13142857142857,620.3,-241.3,13.535824175824176,231.65,-112.8,3.475604395604395,230.3,-65.92,7.006153846153847,404.3,-12.3
2020-01-10,1.8104737041747552,253.3,-10.3,72.03025637592879,362.3,-200.8,14.847490907468147,245.05,-65.92,3.91949483454939,187.55,-59.8,7.39228417787893,284.76,-75.3
